name,rank,matches,wins,losses,draws,year,win_perc,loss_perc,draw_perc,era
The Brooklyn Brawler,43,48,1,47,0,1995,2.08,97.92,0.0,New Generation Era
Sionne,44,46,8,31,7,1995,17.39,67.39,15.22,New Generation Era
Tom Prichard,45,45,6,38,1,1995,13.33,84.44,2.22,New Generation Era
Marty Jannetty,46,42,14,27,1,1995,33.33,64.29,2.38,New Generation Era
Waylon Mercy,47,42,29,5,8,1995,69.05,11.9,19.05,New Generation Era
Triple H,1,185,56,129,0,1996,30.27,69.73,0.0,New Generation Era
Goldust,2,173,46,124,3,1996,26.59,71.68,1.73,New Generation Era
Shawn Michaels,3,172,159,10,3,1996,92.44,5.81,1.74,New Generation Era
Owen Hart,4,171,78,93,0,1996,45.61,54.39,0.0,New Generation Era
Savio Vega,5,168,97,65,6,1996,57.74,38.69,3.57,New Generation Era
The Undertaker,6,167,143,21,3,1996,85.63,12.57,1.8,New Generation Era
Henry O. Godwinn,7,164,82,81,1,1996,50.0,49.39,0.61,New Generation Era
The British Bulldog,8,162,66,93,3,1996,40.74,57.41,1.85,New Generation Era
Phineas I. Godwinn,9,153,78,74,1,1996,50.98,48.37,0.65,New Generation Era
Steve Austin,10,150,95,52,3,1996,63.33,34.67,2.0,New Generation Era
Vader,11,145,35,103,7,1996,24.14,71.03,4.83,New Generation Era
Justin Bradshaw,12,143,78,64,1,1996,54.55,44.76,0.7,New Generation Era
Marc Mero,13,139,109,28,2,1996,78.42,20.14,1.44,New Generation Era
Bart Gunn,14,132,53,72,7,1996,40.15,54.55,5.3,New Generation Era
Billy Gunn,15,127,60,60,7,1996,47.24,47.24,5.51,New Generation Era
Mick Foley,16,122,25,95,2,1996,20.49,77.87,1.64,New Generation Era
Ahmed Johnson,17,107,94,12,1,1996,87.85,11.21,0.93,New Generation Era
Jake Roberts,18,102,56,45,1,1996,54.9,44.12,0.98,New Generation Era
Bob Holly,19,98,17,81,0,1996,17.35,82.65,0.0,New Generation Era
Zip,20,96,51,45,0,1996,53.12,46.88,0.0,New Generation Era
Leif Cassidy,21,95,14,80,1,1996,14.74,84.21,1.05,New Generation Era
Sycho Sid,22,95,82,11,2,1996,86.32,11.58,2.11,New Generation Era
Skip,23,92,49,43,0,1996,53.26,46.74,0.0,New Generation Era
Marty Jannetty,24,89,14,74,1,1996,15.73,83.15,1.12,New Generation Era
Aldo Montoya,25,77,13,64,0,1996,16.88,83.12,0.0,New Generation Era
Bret Hart,26,76,67,6,3,1996,88.16,7.89,3.95,New Generation Era
Yokozuna,27,70,35,34,1,1996,50.0,48.57,1.43,New Generation Era
Duke Droese,28,68,36,32,0,1996,52.94,47.06,0.0,New Generation Era
Barry Horowitz,29,60,11,49,0,1996,18.33,81.67,0.0,New Generation Era
The 1-2-3 Kid,30,50,8,42,0,1996,16.0,84.0,0.0,New Generation Era
Butch,31,48,39,9,0,1996,81.25,18.75,0.0,New Generation Era
Luke,32,48,39,9,0,1996,81.25,18.75,0.0,New Generation Era
Faarooq,33,45,29,14,2,1996,64.44,31.11,4.44,New Generation Era
The Stalker,34,44,34,9,1,1996,77.27,20.45,2.27,New Generation Era
Kevin Nash,35,43,11,32,0,1996,25.58,74.42,0.0,New Generation Era
Kane,36,43,4,39,0,1996,9.3,90.7,0.0,New Generation Era
Owen Hart,1,175,72,99,4,1997,41.14,56.57,2.29,Attitude Era
The Undertaker,2,173,135,28,10,1997,78.03,16.18,5.78,Attitude Era
The British Bulldog,3,150,62,85,3,1997,41.33,56.67,2.0,Attitude Era
Flash Funk,4,149,47,101,1,1997,31.54,67.79,0.67,Attitude Era
Savio Vega,5,147,49,95,3,1997,33.33,64.63,2.04,Attitude Era
Goldust,6,145,69,74,2,1997,47.59,51.03,1.38,Attitude Era
Triple H,7,145,72,71,2,1997,49.66,48.97,1.38,Attitude Era
Vader,8,139,56,76,7,1997,40.29,54.68,5.04,Attitude Era
Faarooq,9,137,60,74,3,1997,43.8,54.01,2.19,Attitude Era
Phineas I. Godwinn,10,137,68,61,8,1997,49.64,44.53,5.84,Attitude Era
Crush,11,130,74,51,5,1997,56.92,39.23,3.85,Attitude Era
Henry O. Godwinn,12,127,69,50,8,1997,54.33,39.37,6.3,Attitude Era
Thrasher,13,126,50,71,5,1997,39.68,56.35,3.97,Attitude Era
Mosh,14,123,47,71,5,1997,38.21,57.72,4.07,Attitude Era
Mick Foley,15,122,60,59,3,1997,49.18,48.36,2.46,Attitude Era
Bret Hart,16,121,47,69,5,1997,38.84,57.02,4.13,Attitude Era
The Rock,17,116,60,54,2,1997,51.72,46.55,1.72,Attitude Era
Steve Austin,18,116,79,32,5,1997,68.1,27.59,4.31,Attitude Era
Ahmed Johnson,19,113,81,31,1,1997,71.68,27.43,0.88,Attitude Era
Road Warrior Hawk,20,99,75,17,7,1997,75.76,17.17,7.07,Attitude Era
Road Warrior Animal,21,95,72,16,7,1997,75.79,16.84,7.37,Attitude Era
Ken Shamrock,22,94,79,13,2,1997,84.04,13.83,2.13,Attitude Era
Blackjack Bradshaw,23,89,34,53,2,1997,38.2,59.55,2.25,Attitude Era
Blackjack Windham,24,85,33,52,0,1997,38.82,61.18,0.0,Attitude Era
Rockabilly,25,78,39,38,1,1997,50.0,48.72,1.28,Attitude Era
D-Lo Brown,26,75,18,55,2,1997,24.0,73.33,2.67,Attitude Era
The Sultan,27,74,22,52,0,1997,29.73,70.27,0.0,Attitude Era
Jesse Jammes,28,73,23,50,0,1997,31.51,68.49,0.0,Attitude Era
Kama Mustafa,29,71,27,40,4,1997,38.03,56.34,5.63,Attitude Era
Philip LaFon,30,71,30,40,1,1997,42.25,56.34,1.41,Attitude Era
Doug Furnas,31,69,29,39,1,1997,42.03,56.52,1.45,Attitude Era
Chainz,32,68,39,26,3,1997,57.35,38.24,4.41,Attitude Era
Miguel Perez,33,64,20,43,1,1997,31.25,67.19,1.56,Attitude Era
Brian Pillman,34,61,25,36,0,1997,40.98,59.02,0.0,Attitude Era
Leif Cassidy,35,57,17,39,1,1997,29.82,68.42,1.75,Attitude Era
Marc Mero,36,56,38,17,1,1997,67.86,30.36,1.79,Attitude Era
Bob Holly,37,55,13,42,0,1997,23.64,76.36,0.0,Attitude Era
Mick Foley,38,55,43,12,0,1997,78.18,21.82,0.0,Attitude Era
Sycho Sid,39,54,37,15,2,1997,68.52,27.78,3.7,Attitude Era
Shawn Michaels,40,53,27,22,4,1997,50.94,41.51,7.55,Attitude Era
Billy Gunn,41,51,30,20,1,1997,58.82,39.22,1.96,Attitude Era
8-Ball,42,50,31,18,1,1997,62.0,36.0,2.0,Attitude Era
Skull,43,48,32,15,1,1997,66.67,31.25,2.08,Attitude Era
Brian Christopher,44,44,34,10,0,1997,77.27,22.73,0.0,Attitude Era
Jim Neidhart,45,42,13,29,0,1997,30.95,69.05,0.0,Attitude Era
The Rock,1,199,73,116,10,1998,36.68,58.29,5.03,Attitude Era
Billy Gunn,2,192,119,68,5,1998,61.98,35.42,2.6,Attitude Era
The Road Dogg,3,185,121,60,4,1998,65.41,32.43,2.16,Attitude Era
Ken Shamrock,4,182,134,40,8,1998,73.63,21.98,4.4,Attitude Era
Kane,5,176,60,105,11,1998,34.09,59.66,6.25,Attitude Era
Jeff Jarrett,6,160,67,90,3,1998,41.88,56.25,1.88,Attitude Era
D-Lo Brown,7,159,47,105,7,1998,29.56,66.04,4.4,Attitude Era
Marc Mero,8,149,43,102,4,1998,28.86,68.46,2.68,Attitude Era
Skull,9,143,66,64,13,1998,46.15,44.76,9.09,Attitude Era
Owen Hart,10,142,59,81,2,1998,41.55,57.04,1.41,Attitude Era
Steve Austin,11,141,125,7,9,1998,88.65,4.96,6.38,Attitude Era
8-Ball,12,134,63,58,13,1998,47.01,43.28,9.7,Attitude Era
Faarooq,13,130,62,61,7,1998,47.69,46.92,5.38,Attitude Era
Brian Christopher,14,129,30,96,3,1998,23.26,74.42,2.33,Attitude Era
The Undertaker,15,126,69,48,9,1998,54.76,38.1,7.14,Attitude Era
Mosh,16,123,81,37,5,1998,65.85,30.08,4.07,Attitude Era
Bradshaw,17,118,89,24,5,1998,75.42,20.34,4.24,Attitude Era
Mark Henry,18,117,39,73,5,1998,33.33,62.39,4.27,Attitude Era
Thrasher,19,117,79,33,5,1998,67.52,28.21,4.27,Attitude Era
Mick Foley,20,111,30,73,8,1998,27.03,65.77,7.21,Attitude Era
Steve Blackman,21,109,58,49,2,1998,53.21,44.95,1.83,Attitude Era
Triple H,22,109,54,51,4,1998,49.54,46.79,3.67,Attitude Era
X-Pac,23,107,75,25,7,1998,70.09,23.36,6.54,Attitude Era
Road Warrior Animal,24,95,38,51,6,1998,40.0,53.68,6.32,Attitude Era
Vader,25,95,44,44,7,1998,46.32,46.32,7.37,Attitude Era
Taka Michinoku,26,93,63,28,2,1998,67.74,30.11,2.15,Attitude Era
Road Warrior Hawk,27,92,38,48,6,1998,41.3,52.17,6.52,Attitude Era
Val Venis,28,90,71,15,4,1998,78.89,16.67,4.44,Attitude Era
Scott Taylor,29,86,26,59,1,1998,30.23,68.6,1.16,Attitude Era
Scorpio,30,73,37,35,1,1998,50.68,47.95,1.37,Attitude Era
Savio Vega,31,66,10,54,2,1998,15.15,81.82,3.03,Attitude Era
Kurrgan,32,63,35,27,1,1998,55.56,42.86,1.59,Attitude Era
Edge,33,61,46,11,4,1998,75.41,18.03,6.56,Attitude Era
Goldust,34,60,5,53,2,1998,8.33,88.33,3.33,Attitude Era
Chainz,35,53,10,41,2,1998,18.87,77.36,3.77,Attitude Era
Gangrel,36,52,30,19,3,1998,57.69,36.54,5.77,Attitude Era
Golga,37,48,21,27,0,1998,43.75,56.25,0.0,Attitude Era
Mick Foley,38,47,32,14,1,1998,68.09,29.79,2.13,Attitude Era
The Godfather,39,47,23,19,5,1998,48.94,40.43,10.64,Attitude Era
Dustin Runnels,40,42,13,28,1,1998,30.95,66.67,2.38,Attitude Era
Phineas I. Godwinn,41,42,26,16,0,1998,61.9,38.1,0.0,Attitude Era
Goldust,42,41,19,19,3,1998,46.34,46.34,7.32,Attitude Era
Pierre,43,41,7,33,1,1998,17.07,80.49,2.44,Attitude Era
Kane,1,200,102,86,12,1999,51.0,43.0,6.0,Attitude Era
Val Venis,2,188,93,89,6,1999,49.47,47.34,3.19,Attitude Era
The Rock,3,185,95,73,17,1999,51.35,39.46,9.19,Attitude Era
D-Lo Brown,4,184,83,94,7,1999,45.11,51.09,3.8,Attitude Era
The Big Bossman,5,179,49,121,9,1999,27.37,67.6,5.03,Attitude Era
Edge,6,175,83,82,10,1999,47.43,46.86,5.71,Attitude Era
Triple H,7,172,54,104,14,1999,31.4,60.47,8.14,Attitude Era
The Godfather,8,171,108,57,6,1999,63.16,33.33,3.51,Attitude Era
Al Snow,9,166,96,65,5,1999,57.83,39.16,3.01,Attitude Era
X-Pac,10,162,91,64,7,1999,56.17,39.51,4.32,Attitude Era
Bradshaw,11,161,85,60,16,1999,52.8,37.27,9.94,Attitude Era
Faarooq,12,157,83,59,15,1999,52.87,37.58,9.55,Attitude Era
Test,13,156,61,90,5,1999,39.1,57.69,3.21,Attitude Era
The Road Dogg,14,152,84,57,11,1999,55.26,37.5,7.24,Attitude Era
Christian,15,151,75,69,7,1999,49.67,45.7,4.64,Attitude Era
Jeff Jarrett,16,151,97,48,6,1999,64.24,31.79,3.97,Attitude Era
The Big Show,17,146,92,39,15,1999,63.01,26.71,10.27,Attitude Era
Hardcore Holly,18,140,57,75,8,1999,40.71,53.57,5.71,Attitude Era
Mick Foley,19,138,91,37,10,1999,65.94,26.81,7.25,Attitude Era
Jeff Hardy,20,137,52,79,6,1999,37.96,57.66,4.38,Attitude Era
Matt Hardy,21,136,55,75,6,1999,40.44,55.15,4.41,Attitude Era
Gangrel,22,128,58,65,5,1999,45.31,50.78,3.91,Attitude Era
Steve Blackman,23,128,58,65,5,1999,45.31,50.78,3.91,Attitude Era
Ken Shamrock,24,127,54,61,12,1999,42.52,48.03,9.45,Attitude Era
Mideon,25,114,33,73,8,1999,28.95,64.04,7.02,Attitude Era
The Undertaker,26,105,56,43,6,1999,53.33,40.95,5.71,Attitude Era
Mr. Ass,27,88,38,46,4,1999,43.18,52.27,4.55,Attitude Era
Viscera,28,88,27,54,7,1999,30.68,61.36,7.95,Attitude Era
Albert,29,87,24,57,6,1999,27.59,65.52,6.9,Attitude Era
Ivory,30,84,41,41,2,1999,48.81,48.81,2.38,Attitude Era
Billy Gunn,31,82,32,45,5,1999,39.02,54.88,6.1,Attitude Era
Mark Henry,32,81,35,42,4,1999,43.21,51.85,4.94,Attitude Era
Owen Hart,33,80,53,24,3,1999,66.25,30.0,3.75,Attitude Era
Steve Austin,34,80,64,10,6,1999,80.0,12.5,7.5,Attitude Era
Jacqueline,35,71,26,45,0,1999,36.62,63.38,0.0,Attitude Era
Goldust,36,68,12,55,1,1999,17.65,80.88,1.47,Attitude Era
Kurt Angle,37,64,56,8,0,1999,87.5,12.5,0.0,Attitude Era
Droz,38,58,19,36,3,1999,32.76,62.07,5.17,Attitude Era
Buh Buh Ray Dudley,39,55,17,38,0,1999,30.91,69.09,0.0,Attitude Era
D-Von Dudley,40,54,18,36,0,1999,33.33,66.67,0.0,Attitude Era
Crash Holly,41,53,17,31,5,1999,32.08,58.49,9.43,Attitude Era
Tori,42,52,23,28,1,1999,44.23,53.85,1.92,Attitude Era
Chris Jericho,43,50,19,26,5,1999,38.0,52.0,10.0,Attitude Era
8-Ball,44,44,11,32,1,1999,25.0,72.73,2.27,Attitude Era
Skull,45,44,11,32,1,1999,25.0,72.73,2.27,Attitude Era
Scott Taylor,46,43,13,30,0,1999,30.23,69.77,0.0,Attitude Era
The Blue Meanie,47,43,7,35,1,1999,16.28,81.4,2.33,Attitude Era
The British Bulldog,48,42,19,21,2,1999,45.24,50.0,4.76,Attitude Era
Jeff Hardy,1,182,89,88,5,2000,48.9,48.35,2.75,Attitude Era
Matt Hardy,2,180,87,88,5,2000,48.33,48.89,2.78,Attitude Era
Christian,3,178,90,85,3,2000,50.56,47.75,1.69,Attitude Era
Kurt Angle,4,178,89,82,7,2000,50.0,46.07,3.93,Attitude Era
Scotty 2 Hotty,5,174,89,81,4,2000,51.15,46.55,2.3,Attitude Era
D-Von Dudley,6,173,89,77,7,2000,51.45,44.51,4.05,Attitude Era
Chris Jericho,7,172,78,91,3,2000,45.35,52.91,1.74,Attitude Era
Edge,8,172,89,80,3,2000,51.74,46.51,1.74,Attitude Era
Chris Benoit,9,162,72,86,4,2000,44.44,53.09,2.47,Attitude Era
Test,10,153,50,100,3,2000,32.68,65.36,1.96,Attitude Era
Grandmaster Sexay,11,152,74,74,4,2000,48.68,48.68,2.63,Attitude Era
The Rock,12,152,97,44,11,2000,63.82,28.95,7.24,Attitude Era
Steve Blackman,13,139,94,41,4,2000,67.63,29.5,2.88,Attitude Era
Kane,14,138,80,49,9,2000,57.97,35.51,6.52,Attitude Era
Triple H,15,137,56,70,11,2000,40.88,51.09,8.03,Attitude Era
Perry Saturn,16,136,58,75,3,2000,42.65,55.15,2.21,Attitude Era
D-Lo Brown,17,133,64,65,4,2000,48.12,48.87,3.01,Attitude Era
Val Venis,18,133,70,61,2,2000,52.63,45.86,1.5,Attitude Era
Al Snow,19,131,51,76,4,2000,38.93,58.02,3.05,Attitude Era
The Road Dogg,20,131,60,66,5,2000,45.8,50.38,3.82,Attitude Era
Dean Malenko,21,130,84,45,1,2000,64.62,34.62,0.77,Attitude Era
X-Pac,22,127,55,65,7,2000,43.31,51.18,5.51,Attitude Era
Bull Buchanan,23,124,62,59,3,2000,50.0,47.58,2.42,Attitude Era
Albert,24,123,35,87,1,2000,28.46,70.73,0.81,Attitude Era
Eddie Guerrero,25,122,66,54,2,2000,54.1,44.26,1.64,Attitude Era
Bradshaw,26,111,59,49,3,2000,53.15,44.14,2.7,Attitude Era
The Big Bossman,27,109,30,73,6,2000,27.52,66.97,5.5,Attitude Era
Buh Buh Ray Dudley,28,104,50,48,6,2000,48.08,46.15,5.77,Attitude Era
Rikishi,29,103,60,35,8,2000,58.25,33.98,7.77,Attitude Era
Faarooq,30,99,54,42,3,2000,54.55,42.42,3.03,Attitude Era
Essa Rios,31,87,32,53,2,2000,36.78,60.92,2.3,Attitude Era
Tazz,32,86,38,45,3,2000,44.19,52.33,3.49,Attitude Era
The Godfather,33,86,52,26,8,2000,60.47,30.23,9.3,Attitude Era
Hardcore Holly,34,85,23,57,5,2000,27.06,67.06,5.88,Attitude Era
Crash Holly,35,83,30,46,7,2000,36.14,55.42,8.43,Attitude Era
Crash,36,81,27,52,2,2000,33.33,64.2,2.47,Attitude Era
Funaki,37,81,19,62,0,2000,23.46,76.54,0.0,Attitude Era
Gangrel,38,72,18,53,1,2000,25.0,73.61,1.39,Attitude Era
The Undertaker,39,69,49,14,6,2000,71.01,20.29,8.7,Attitude Era
Bubba Ray Dudley,40,68,42,26,0,2000,61.76,38.24,0.0,Attitude Era
Lita,41,67,36,29,2,2000,53.73,43.28,2.99,Attitude Era
The Big Show,42,66,25,34,7,2000,37.88,51.52,10.61,Attitude Era
The Goodfather,43,66,39,27,0,2000,59.09,40.91,0.0,Attitude Era
Rikishi,44,63,49,10,4,2000,77.78,15.87,6.35,Attitude Era
Joey Abs,45,60,16,44,0,2000,26.67,73.33,0.0,Attitude Era
Chaz,46,59,26,33,0,2000,44.07,55.93,0.0,Attitude Era
Mosh,47,59,15,43,1,2000,25.42,72.88,1.69,Attitude Era
Taka Michinoku,48,58,13,44,1,2000,22.41,75.86,1.72,Attitude Era
Jack Dupp,49,57,35,22,0,2000,61.4,38.6,0.0,Attitude Era
Bo Dupp,50,56,34,22,0,2000,60.71,39.29,0.0,Attitude Era
Rodney,51,54,14,40,0,2000,25.93,74.07,0.0,Attitude Era
Mideon,52,53,13,40,0,2000,24.53,75.47,0.0,Attitude Era
Thrasher,53,53,10,42,1,2000,18.87,79.25,1.89,Attitude Era
Pete Gas,54,48,10,38,0,2000,20.83,79.17,0.0,Attitude Era
Billy Gunn,55,46,29,17,0,2000,63.04,36.96,0.0,Attitude Era
Jacqueline,56,46,27,19,0,2000,58.7,41.3,0.0,Attitude Era
Chyna,57,45,22,21,2,2000,48.89,46.67,4.44,Attitude Era
Ivory,58,44,20,23,1,2000,45.45,52.27,2.27,Attitude Era
Chris Jericho,1,165,93,68,4,2001,56.36,41.21,2.42,Attitude Era
Kurt Angle,2,164,83,75,6,2001,50.61,45.73,3.66,Attitude Era
Jeff Hardy,3,162,85,73,4,2001,52.47,45.06,2.47,Attitude Era
D-Von Dudley,4,161,88,67,6,2001,54.66,41.61,3.73,Attitude Era
Matt Hardy,5,161,85,73,3,2001,52.8,45.34,1.86,Attitude Era
Bubba Ray Dudley,6,155,81,69,5,2001,52.26,44.52,3.23,Attitude Era
Kane,7,147,98,47,2,2001,66.67,31.97,1.36,Attitude Era
Test,8,146,80,64,2,2001,54.79,43.84,1.37,Attitude Era
Edge,9,143,77,63,3,2001,53.85,44.06,2.1,Attitude Era
Christian,10,141,67,71,3,2001,47.52,50.35,2.13,Attitude Era
Raven,11,132,54,74,4,2001,40.91,56.06,3.03,Attitude Era
The Big Show,12,130,77,51,2,2001,59.23,39.23,1.54,Attitude Era
Billy Gunn,13,129,75,52,2,2001,58.14,40.31,1.55,Attitude Era
Albert,14,128,77,49,2,2001,60.16,38.28,1.56,Attitude Era
The Undertaker,15,128,94,28,6,2001,73.44,21.88,4.69,Attitude Era
Crash,16,125,46,79,0,2001,36.8,63.2,0.0,Attitude Era
Bradshaw,17,118,79,37,2,2001,66.95,31.36,1.69,Attitude Era
Justin Credible,18,113,35,75,3,2001,30.97,66.37,2.65,Attitude Era
Perry Saturn,19,112,57,55,0,2001,50.89,49.11,0.0,Attitude Era
X-Pac,20,112,60,49,3,2001,53.57,43.75,2.68,Attitude Era
Steve Austin,21,107,58,47,2,2001,54.21,43.93,1.87,Attitude Era
Faarooq,22,101,64,36,1,2001,63.37,35.64,0.99,Attitude Era
Rhyno,23,97,49,45,3,2001,50.52,46.39,3.09,Attitude Era
Spike Dudley,24,92,39,53,0,2001,42.39,57.61,0.0,Attitude Era
The Rock,25,91,62,24,5,2001,68.13,26.37,5.49,Attitude Era
Rob Van Dam,26,87,61,21,5,2001,70.11,24.14,5.75,Attitude Era
Tajiri,27,85,43,42,0,2001,50.59,49.41,0.0,Attitude Era
Chris Benoit,28,81,47,32,2,2001,58.02,39.51,2.47,Attitude Era
Ivory,29,80,36,42,2,2001,45.0,52.5,2.5,Attitude Era
Lita,30,79,54,23,2,2001,68.35,29.11,2.53,Attitude Era
Funaki,31,78,16,61,1,2001,20.51,78.21,1.28,Attitude Era
Lance Storm,32,78,23,54,1,2001,29.49,69.23,1.28,Attitude Era
Scotty 2 Hotty,33,78,37,38,3,2001,47.44,48.72,3.85,Attitude Era
William Regal,34,76,27,47,2,2001,35.53,61.84,2.63,Attitude Era
Hardcore Holly,35,72,39,30,3,2001,54.17,41.67,4.17,Attitude Era
Chuck Palumbo,36,71,43,27,1,2001,60.56,38.03,1.41,Attitude Era
Booker T,37,69,34,32,3,2001,49.28,46.38,4.35,Attitude Era
Taka Michinoku,38,62,20,41,1,2001,32.26,66.13,1.61,Attitude Era
Steve Blackman,39,54,31,22,1,2001,57.41,40.74,1.85,Attitude Era
Hugh Morrus,40,50,10,40,0,2001,20.0,80.0,0.0,Attitude Era
Molly Holly,41,50,14,35,1,2001,28.0,70.0,2.0,Attitude Era
Bull Buchanan,42,49,6,43,0,2001,12.24,87.76,0.0,Attitude Era
Haku,43,49,17,32,0,2001,34.69,65.31,0.0,Attitude Era
K-Kwik,44,48,20,28,0,2001,41.67,58.33,0.0,Attitude Era
Tazz,45,48,21,25,2,2001,43.75,52.08,4.17,Attitude Era
Triple H,46,48,11,34,3,2001,22.92,70.83,6.25,Attitude Era
The Goodfather,47,47,7,40,0,2001,14.89,85.11,0.0,Attitude Era
Hurricane Helms,48,47,19,28,0,2001,40.43,59.57,0.0,Attitude Era
Tommy Dreamer,49,47,10,36,1,2001,21.28,76.6,2.13,Attitude Era
Grandmaster Sexay,50,44,21,22,1,2001,47.73,50.0,2.27,Attitude Era
Mike Awesome,51,44,7,36,1,2001,15.91,81.82,2.27,Attitude Era
Rikishi,52,44,13,31,0,2001,29.55,70.45,0.0,Attitude Era
Steven Richards,53,44,7,36,1,2001,15.91,81.82,2.27,Attitude Era
Eddie Guerrero,54,42,20,21,1,2001,47.62,50.0,2.38,Attitude Era
Essa Rios,55,42,18,24,0,2001,42.86,57.14,0.0,Attitude Era
Val Venis,56,42,10,32,0,2001,23.81,76.19,0.0,Attitude Era
Rob Van Dam,1,181,121,60,0,2002,66.85,33.15,0.0,Ruthless Agression
Lance Storm,2,176,90,84,2,2002,51.14,47.73,1.14,Ruthless Agression
Kurt Angle,3,174,58,111,5,2002,33.33,63.79,2.87,Ruthless Agression
Christian,4,170,92,78,0,2002,54.12,45.88,0.0,Ruthless Agression
Booker T,5,167,84,78,5,2002,50.3,46.71,2.99,Ruthless Agression
Test,6,160,70,87,3,2002,43.75,54.37,1.88,Ruthless Agression
Edge,7,159,91,67,1,2002,57.23,42.14,0.63,Ruthless Agression
Chris Jericho,8,158,86,69,3,2002,54.43,43.67,1.9,Ruthless Agression
Rikishi,9,158,81,75,2,2002,51.27,47.47,1.27,Ruthless Agression
Billy Kidman,10,156,79,77,0,2002,50.64,49.36,0.0,Ruthless Agression
Spike Dudley,11,154,81,73,0,2002,52.6,47.4,0.0,Ruthless Agression
Tajiri,12,154,64,90,0,2002,41.56,58.44,0.0,Ruthless Agression
Hurricane Helms,13,154,89,64,1,2002,57.79,41.56,0.65,Ruthless Agression
Bubba Ray Dudley,14,152,53,98,1,2002,34.87,64.47,0.66,Ruthless Agression
William Regal,15,148,63,83,2,2002,42.57,56.08,1.35,Ruthless Agression
Albert,16,147,61,83,3,2002,41.5,56.46,2.04,Ruthless Agression
Chuck,17,144,101,43,0,2002,70.14,29.86,0.0,Ruthless Agression
Brock Lesnar,18,141,101,35,5,2002,71.63,24.82,3.55,Ruthless Agression
The Big Show,19,136,65,63,8,2002,47.79,46.32,5.88,Ruthless Agression
Billy,20,135,98,37,0,2002,72.59,27.41,0.0,Ruthless Agression
Trish Stratus,21,134,84,50,0,2002,62.69,37.31,0.0,Ruthless Agression
Goldust,22,128,56,70,2,2002,43.75,54.69,1.56,Ruthless Agression
Jeff Hardy,23,127,62,64,1,2002,48.82,50.39,0.79,Ruthless Agression
Funaki,24,124,40,84,0,2002,32.26,67.74,0.0,Ruthless Agression
Crash,25,122,42,79,1,2002,34.43,64.75,0.82,Ruthless Agression
Steven Richards,26,122,33,86,3,2002,27.05,70.49,2.46,Ruthless Agression
Chavo Guerrero,27,120,57,63,0,2002,47.5,52.5,0.0,Ruthless Agression
Triple H,28,119,81,35,3,2002,68.07,29.41,2.52,Ruthless Agression
Eddie Guerrero,29,118,55,63,0,2002,46.61,53.39,0.0,Ruthless Agression
Tommy Dreamer,30,118,53,60,5,2002,44.92,50.85,4.24,Ruthless Agression
Justin Credible,31,114,24,90,0,2002,21.05,78.95,0.0,Ruthless Agression
Randy Orton,32,109,40,69,0,2002,36.7,63.3,0.0,Ruthless Agression
Bradshaw,33,107,45,55,7,2002,42.06,51.4,6.54,Ruthless Agression
Matt Hardy,34,107,64,43,0,2002,59.81,40.19,0.0,Ruthless Agression
Raven,35,105,30,75,0,2002,28.57,71.43,0.0,Ruthless Agression
D-Lo Brown,36,104,69,34,1,2002,66.35,32.69,0.96,Ruthless Agression
Molly Holly,37,103,43,60,0,2002,41.75,58.25,0.0,Ruthless Agression
Jamie Noble,38,102,61,41,0,2002,59.8,40.2,0.0,Ruthless Agression
Kane,39,97,66,30,1,2002,68.04,30.93,1.03,Ruthless Agression
The Undertaker,40,92,56,32,4,2002,60.87,34.78,4.35,Ruthless Agression
Chris Benoit,41,89,46,40,3,2002,51.69,44.94,3.37,Ruthless Agression
Hardcore Holly,42,83,40,42,1,2002,48.19,50.6,1.2,Ruthless Agression
Shelton Benjamin,43,81,44,37,0,2002,54.32,45.68,0.0,Ruthless Agression
John Cena,44,78,40,38,0,2002,51.28,48.72,0.0,Ruthless Agression
Rey Mysterio,45,78,47,30,1,2002,60.26,38.46,1.28,Ruthless Agression
Val Venis,46,75,37,37,1,2002,49.33,49.33,1.33,Ruthless Agression
Jacqueline,47,74,37,37,0,2002,50.0,50.0,0.0,Ruthless Agression
Shawn Stasiak,48,74,16,51,7,2002,21.62,68.92,9.46,Ruthless Agression
Shannon Moore,49,73,33,40,0,2002,45.21,54.79,0.0,Ruthless Agression
Faarooq,50,70,35,35,0,2002,50.0,50.0,0.0,Ruthless Agression
Batista,51,69,51,18,0,2002,73.91,26.09,0.0,Ruthless Agression
Christopher Nowinski,52,69,30,37,2,2002,43.48,53.62,2.9,Ruthless Agression
D-Von Dudley,53,68,30,38,0,2002,44.12,55.88,0.0,Ruthless Agression
Reverend D-Von,54,67,30,37,0,2002,44.78,55.22,0.0,Ruthless Agression
Mark Henry,55,60,34,26,0,2002,56.67,43.33,0.0,Ruthless Agression
Rico,56,58,24,34,0,2002,41.38,58.62,0.0,Ruthless Agression
Johnny Stamboli,57,56,21,35,0,2002,37.5,62.5,0.0,Ruthless Agression
Steve Austin,58,56,42,10,4,2002,75.0,17.86,7.14,Ruthless Agression
Jazz,59,55,36,18,1,2002,65.45,32.73,1.82,Ruthless Agression
Maven,60,55,15,37,3,2002,27.27,67.27,5.45,Ruthless Agression
Scotty 2 Hotty,61,53,22,31,0,2002,41.51,58.49,0.0,Ruthless Agression
Victoria,62,53,18,35,0,2002,33.96,66.04,0.0,Ruthless Agression
Bull Buchanan,63,50,19,31,0,2002,38.0,62.0,0.0,Ruthless Agression
